avg_order_per_day,avg_spend_per_day,customer_id,favourite_brand,frequent_hour_slot,mean_order_cost,num_products,product_category,quintile,subscription,top_5_products
0.010810810810810811,0.6604864864864864,33023200,1122016,20,122.19,2,1122576,1.0,0,"[1120224, 2026640]"
0.010810810810810811,0.8387567567567569,25203136,1150128,17,155.17000000000002,2,1124592,1.0,0,"[2499168, 3424176]"
0.11351351351351352,5.332162162162162,3422832,1150128,1,54.80277777777776,8,1123472,1.0,1,"[1670032, 1120224, 1927632, 2080176, 1572368]"
0.23243243243243245,10.257297297297297,10176208,1122016,21,126.50666666666669,20,1122576,1.0,1,"[1120224, 1984864, 2165968, 2310784, 1688064]"
0.23783783783783785,12.676108108108105,8242304,1122016,1,71.06303030303029,13,1122576,1.0,1,"[1698256, 2515184, 1684256, 1687504, 1688064]"
0.20540540540540542,13.782426486486484,23591232,1134336,22,169.98325999999997,21,1122576,1.0,0,"[1707888, 2026640, 1609328, 1693328, 1120224]"
0.2594594594594595,13.895027027027027,7752304,1122016,21,151.21058823529415,28,1122576,1.0,1,"[1120112, 1673952, 2335424, 2955232, 1729056]"
0.2702702702702703,14.839297297297298,13492864,1126048,19,183.018,41,1122464,1.0,0,"[2310784, 2199904, 1676080, 1650992, 2408000]"
0.42162162162162165,16.502222162162163,36351168,1150128,19,381.61388750000003,52,1123472,1.0,1,"[1707888, 2118368, 2119488, 1647968, 1688064]"
0.4702702702702703,16.599675675675677,23895984,1134336,22,127.95583333333333,42,1122576,1.0,0,"[1120560, 2507120, 2432080, 1121120, 1915760]"
0.33513513513513515,17.768864864864863,23806496,1150128,23,131.48960000000002,45,1122576,1.0,0,"[1707888, 1970640, 1901984, 1124144, 2026640]"
0.4540540540540541,17.89187945945946,28454384,1150128,22,91.94438055555555,39,1123472,1.0,1,"[1670032, 2165968, 1120224, 2842336, 1132992]"
0.3081081081081081,18.473945945945946,15182720,1134336,1,79.48093023255818,18,1122576,1.0,1,"[1120448, 1120112, 2507120, 1120560, 3621632]"
0.654054054054054,19.64562162162162,20778576,1150128,21,151.43499999999997,44,1123472,1.0,0,"[1120112, 2166080, 1668240, 1902656, 1688064]"
0.7297297297297297,21.35745945945946,21401968,1134336,1,77.47313725490196,55,1122576,1.0,1,"[2507120, 1939280, 1670032, 1931776, 1994384]"
0.3891891891891892,21.60302702702703,21792400,1150128,20,190.31238095238098,34,1122576,1.0,0,"[1120672, 2335424, 1708336, 2080176, 1687280]"
1.1513513513513514,22.198824324324324,25650352,1122016,23,61.295261194029884,52,1122576,1.0,0,"[1120224, 2507120, 2714880, 2310784, 1422960]"
1.0972972972972972,26.826864864864866,28120624,1122016,22,57.70895348837209,57,1122576,1.0,0,"[2166080, 2026640, 3816960, 1681904, 1688064]"
1.037837837837838,28.473929027027022,23166080,1134336,21,94.06565839285717,47,1122576,1.0,0,"[1707888, 1120448, 1120896, 1939280, 1709008]"
1.0972972972972972,29.933522162162163,6878816,1150128,19,113.01431836734685,42,1123472,1.0,1,"[2718016, 3816960, 1902208, 2165968, 1120784]"
1.2162162162162162,31.066882,34845552,1122016,19,87.08141166666668,60,1122576,1.0,0,"[1120336, 2166080, 1698256, 1681904, 1125600]"
0.4756756756756757,31.14010810810811,7491344,1122016,1,137.16476190476192,31,1122576,1.0,1,"[1120336, 1382640, 1379840, 2691696, 3912944]"
1.3567567567567567,32.483513513513515,32159456,1134336,1,63.25736842105264,39,1122576,1.0,1,"[1120448, 1707888, 2515184, 2714880, 2502864]"
1.1081081081081081,32.49196654054054,33408032,1150128,20,176.79452382352943,64,1123472,1.0,0,"[1120224, 2118368, 1120336, 1683808, 1681904]"
1.1189189189189188,32.7495338918919,24441872,1150128,23,77.6751765384616,56,1123472,1.0,1,"[1120112, 1694896, 1902656, 1670032, 1709008]"
1.1135135135135135,32.785496756756764,33583760,1134336,14,73.96727926829263,74,1122576,1.0,1,"[1120560, 1120672, 1125600, 1688064, 1681904]"
1.2540540540540541,33.680096756756754,30956128,1150128,20,59.91171057692308,38,1123472,1.0,1,"[1120336, 1120224, 1683696, 1694000, 1688064]"
1.2108108108108109,34.29810616216216,29661072,1150128,23,91.95869043478261,92,1123472,1.0,0,"[1681904, 1120224, 1684816, 2119152, 1694336]"
1.4162162162162162,34.635040540540544,35171696,1122016,20,68.89766129032256,68,1122576,1.0,1,"[1120224, 2166080, 1984864, 1120336, 1681904]"
