customer_id,manufacturer_id,society_id,city_id,route_id,store_id,order_id,order_date,category_id,subcategory_id,product_id,product_quantity,selling_price_per_unit,total_cost,subscription,product_addedtobasket_on
2698080,1122016,1127168,1120112,1121456,1120112,338048928,2018-05-01,1122576,1125264,1120336,4,16.01,64.04,0,2018-04-30 16:23:46
1134224,1134336,1120224,1120112,1120336,1120112,337533168,2018-05-01,1122576,1125152,1939280,1,8.79,8.79,1,2018-04-19 01:30:02
3686704,1150128,1126160,1120112,1123472,1120112,338235520,2018-05-01,1123472,1130640,1681456,1,25.0,25.0,0,2018-04-30 22:26:07
4045328,1122016,1137360,1120112,1121456,1120112,337818768,2018-05-01,1122576,1125264,1120224,3,20.38,61.14,1,2018-04-23 01:30:03
3568656,1122016,1120784,1120112,1122576,1120112,338234400,2018-05-01,1122576,1125264,1120112,3,25.38,76.14,0,2018-04-30 22:22:57
3641008,1122016,1127168,1120112,1121456,1120112,337762096,2018-05-01,1122576,1125264,1120112,1,25.38,25.38,1,2018-04-25 01:30:03
4921952,1122016,1136016,1120112,1123024,1120112,338003680,2018-05-01,1122576,1125264,1120224,2,20.38,40.76,0,2018-04-30 10:00:47
2461312,1122016,1121232,1120112,1122688,1120112,338241456,2018-05-01,1122576,1125264,2080176,3,22.6,67.8,0,2018-04-30 22:33:59
1588384,1134896,1121568,1120112,1122576,1120112,337498448,2018-05-01,1122576,1125376,1125488,1,63.64,63.64,1,2018-04-20 01:30:03
3058944,1126048,1122128,1120112,1121120,1120112,338231712,2018-05-01,1122576,1125376,2199568,2,32.0,64.0,0,2018-04-30 22:20:26
3892112,1148896,1120896,1120112,1120448,1120112,338101568,2018-05-01,1122912,1127392,2223200,1,16.8,16.8,0,2018-04-30 19:57:02
3181696,1134336,1127840,1120112,1121680,1120112,337974784,2018-05-01,1122464,1124144,1741936,1,96.99,96.99,0,2018-04-30 08:59:05
4082176,1150128,1141056,1120112,1121904,1120112,337508304,2018-05-01,1123472,1131312,1902656,1,19.0,19.0,0,2018-04-30 20:14:56
2706928,1134336,1127504,1120112,1121792,1120112,337977808,2018-05-01,1122576,1125376,1668240,1,22.0,22.0,0,2018-04-30 19:31:10
4615296,1150128,1156624,1120112,1123920,1120112,338026864,2018-05-01,1123472,1130640,1685040,1,12.0,12.0,0,2018-04-30 13:27:38
1577968,1150128,1123360,1120112,1121456,1120112,338238432,2018-05-01,1123472,1130640,1685040,1,12.0,12.0,0,2018-04-30 22:31:12
1504720,1150128,1121680,1120112,1121120,1120112,338020928,2018-05-01,1123472,1131312,1672608,1,30.0,30.0,0,2018-04-30 17:25:58
4034688,1122016,1127168,1120112,1121456,1120112,337772736,2018-05-01,1122576,1125264,1120224,3,20.38,61.14,1,2018-04-22 01:30:02
3580416,1122016,1129856,1120112,1122352,1120112,337497776,2018-05-01,1122576,1125264,1120112,1,25.38,25.38,1,2018-04-19 01:30:02
2371264,1122016,1127504,1120112,1121792,1120112,337879808,2018-05-01,1122576,1125264,1120112,2,25.38,50.76,1,2018-04-24 01:30:02
1540448,1124592,1123248,1120112,1120672,1120112,337603056,2018-05-01,1122576,1125264,1571024,3,29.5,88.5,0,2018-04-30 19:04:52
4469696,1150128,1126048,1120112,1123472,1120112,337946560,2018-05-01,1123472,1130640,1684032,1,5.0,5.0,0,2018-04-30 16:54:38
4643744,1122016,1120112,1120112,1120224,1120112,337692768,2018-05-01,1122576,1125264,1120224,3,20.38,61.14,1,2018-04-24 19:12:49
4275600,1128288,1123360,1120112,1121456,1120112,338199792,2018-05-01,1122576,1125040,1125040,1,58.0,58.0,0,2018-04-30 21:39:21
4469696,1150128,1126048,1120112,1123472,1120112,337946560,2018-05-01,1123472,1130640,2122736,1,5.0,5.0,0,2018-04-30 16:54:07
1712816,1150128,1123136,1120112,1124144,1120112,337731856,2018-05-01,1123472,1130640,1686160,1,8.0,8.0,0,2018-04-30 20:47:08
1777328,1122016,1122464,1120112,1120896,1120112,337680224,2018-05-01,1122576,1125264,1120336,3,16.01,48.03,1,2018-04-23 01:30:03
3843840,1136464,1120112,1120112,1120224,1120112,338105824,2018-05-01,1122688,1138704,1366960,1,21.0,21.0,0,2018-04-30 19:34:04
2548000,1186528,1130864,1120112,1122128,1120112,338040752,2018-05-01,1122464,1124704,1371552,4,49.87,199.48,0,2018-04-30 15:23:24
3749648,1149120,1160992,1120112,1123472,1120112,338252880,2018-05-01,1123136,1128960,2165520,1,116.97,116.97,0,2018-04-30 22:55:48
1597232,1150128,1123248,1120112,1120672,1120112,338230256,2018-05-01,1123472,1130640,2118368,1,7.0,7.0,0,2018-04-30 22:19:36
3686704,1150128,1126160,1120112,1123472,1120112,338235520,2018-05-01,1123472,1130640,1683024,1,8.0,8.0,0,2018-04-30 22:25:19
3558016,1122016,1125712,1120112,1123136,1120112,337608544,2018-05-01,1122576,1125264,1120224,2,20.38,40.76,1,2018-04-21 01:30:02
1612576,1122016,1122016,1120112,1120784,1120112,338160928,2018-05-01,1122576,1125264,2026640,4,20.35,81.4,0,2018-04-30 20:54:32
2548000,1137360,1130864,1120112,1122128,1120112,338040752,2018-05-01,1122464,1124816,2035488,1,20.5,20.5,0,2018-04-30 15:35:54
1777328,1124592,1122464,1120112,1120896,1120112,337680224,2018-05-01,1122576,1125264,1571024,2,29.5,59.0,1,2018-04-21 01:30:02
3749648,1134896,1160992,1120112,1123472,1120112,338252880,2018-05-01,1122576,1125264,1121008,1,70.42,70.42,0,2018-04-30 23:39:03
4273584,1150128,1127728,1120112,1122688,1120112,338116912,2018-05-01,1123472,1130640,1683808,1,5.0,5.0,0,2018-04-30 19:58:22
